2390,it was founded as kart-hadasht meaning new town and it is now a suburb of a world capital.,portugal:0.0748547872365,carthage,0,carthage:4.46484593046,history
2390,it was founded as kart-hadasht meaning new town and it is now a suburb of a world capital. the byrsu its ancient citadel was on a hill overlooking the sea.,battle_of_shiloh:0.033232900633,carthage,1,carthage:6.0041482036,history
2390,it was founded as kart-hadasht meaning new town and it is now a suburb of a world capital. the byrsu its ancient citadel was on a hill overlooking the sea. when it was plundered and burned its conquerors forbid all human habitation on its site but it was re-founded and later captured by the vandals the byzantine_empire and in 705 the arabs.,hannibal:0.0323164945129,carthage,2,carthage:6.40252637044,history
2390,it was founded as kart-hadasht meaning new town and it is now a suburb of a world capital. the byrsu its ancient citadel was on a hill overlooking the sea. when it was plundered and burned its conquerors forbid all human habitation on its site but it was re-founded and later captured by the vandals the byzantine_empire and in 705 the arabs. name this city which may have been founded by dido and whose wars with rome brought about its destruction in 146 bc.,carthage:0.120553743404,carthage,3,carthage:6.74579468525,history
106503,the nations involved in it had allied immediately before it through the treaty of chaumont and one of the figures involved in it continued the reforms of karl vom stein.,battle_of_austerlitz:0.06581875769,congress_of_vienna,0,congress_of_vienna:3.78992924717,history
106503,the nations involved in it had allied immediately before it through the treaty of chaumont and one of the figures involved in it continued the reforms of karl vom stein. due to disagreement over italys settlement spain refused to sign the final act of it and switzerland was granted a new constitution.,treaty_of_brest-litovsk:0.0290714511706,congress_of_vienna,1,congress_of_vienna:3.91160914684,history
106503,the nations involved in it had allied immediately before it through the treaty of chaumont and one of the figures involved in it continued the reforms of karl vom stein. due to disagreement over italys settlement spain refused to sign the final act of it and switzerland was granted a new constitution. swedish pomerania was given to prussia and a loose german confederation was established much to the delight of klemens_von_metternich.,congress_of_vienna:0.18004693222,congress_of_vienna,2,congress_of_vienna:7.0196528341,history
106503,the nations involved in it had allied immediately before it through the treaty of chaumont and one of the figures involved in it continued the reforms of karl vom stein. due to disagreement over italys settlement spain refused to sign the final act of it and switzerland was granted a new constitution. swedish pomerania was given to prussia and a loose german confederation was established much to the delight of klemens_von_metternich. identify this 1815 meeting that took place in austria.,congress_of_vienna:0.224345119428,congress_of_vienna,3,congress_of_vienna:6.65354658301,history
165897,at age 22 he became the youngest captain in the spanish army.,benito_mussolini:0.343499429074,francisco_franco,0,seminole_wars:3.40736769424,history
165897,at age 22 he became the youngest captain in the spanish army. he later quelled a revolt of asturian miners but after the victory of the radicals in the parliamentary elections he was sent to a minor command in the canary_islands.,emilio_aguinaldo:0.0391431785257,francisco_franco,1,francisco_franco:5.81715654207,history
165897,at age 22 he became the youngest captain in the spanish army. he later quelled a revolt of asturian miners but after the victory of the radicals in the parliamentary elections he was sent to a minor command in the canary_islands. this led to a military revolt which he commanded and he stayed in power until his 1975 death.,francisco_franco:0.0383488577287,francisco_franco,2,francisco_franco:5.36051506008,history
165897,at age 22 he became the youngest captain in the spanish army. he later quelled a revolt of asturian miners but after the victory of the radicals in the parliamentary elections he was sent to a minor command in the canary_islands. this led to a military revolt which he commanded and he stayed in power until his 1975 death. name this long-time dictator of spain.,francisco_franco:0.0639853472986,francisco_franco,3,francisco_franco:5.68627680357,history
165906,this man 's first speech in parliament in 1832 supported slavery.,john_c._calhoun:0.199549792552,william_ewart_gladstone,0,john_c._calhoun:2.858765593,history
165906,this man 's first speech in parliament in 1832 supported slavery. after 1850 he led the peelites and was chancellor of the exchequer in the earl of aberdeen 's government.,william_ewart_gladstone:0.123619741036,william_ewart_gladstone,1,william_ewart_gladstone:7.0639943184,history
165906,this man 's first speech in parliament in 1832 supported slavery. after 1850 he led the peelites and was chancellor of the exchequer in the earl of aberdeen 's government. he wrote a pamphlet on turkish killings of bulgarian christians in 1876 and conducted the midlothian campaign.,william_ewart_gladstone:0.284934897763,william_ewart_gladstone,2,william_ewart_gladstone:8.09833354521,history
165906,this man 's first speech in parliament in 1832 supported slavery. after 1850 he led the peelites and was chancellor of the exchequer in the earl of aberdeen 's government. he wrote a pamphlet on turkish killings of bulgarian christians in 1876 and conducted the midlothian campaign. in 1885 he split the liberal party by supporting home rule.,william_ewart_gladstone:0.249538984543,william_ewart_gladstone,3,william_ewart_gladstone:7.52291054588,history
165906,this man 's first speech in parliament in 1832 supported slavery. after 1850 he led the peelites and was chancellor of the exchequer in the earl of aberdeen 's government. he wrote a pamphlet on turkish killings of bulgarian christians in 1876 and conducted the midlothian campaign. in 1885 he split the liberal party by supporting home rule. name this four-time prime minister an opponent of disraeli.,benjamin_disraeli:0.257423435159,william_ewart_gladstone,4,william_ewart_gladstone:7.35109338091,history
165908,in jones v. vanzandt this man unsuccessfully argued against the constitutionality of the fugitive slave act.,andrew_jackson:0.140687041675,salmon_p._chase,0,salmon_p._chase:6.77584580672,history
165908,in jones v. vanzandt this man unsuccessfully argued against the constitutionality of the fugitive slave act. he was elected to the senate as a free-soiler in 1849 and six years later became the first republican governor of ohio.,william_h._seward:0.0444338464169,salmon_p._chase,1,salmon_p._chase:5.02350990842,history
165908,in jones v. vanzandt this man unsuccessfully argued against the constitutionality of the fugitive slave act. he was elected to the senate as a free-soiler in 1849 and six years later became the first republican governor of ohio. after failing to secure the 1860 presidential nomination he was made secretary of the treasury and later succeeded roger taney.,salmon_p._chase:0.217887741615,salmon_p._chase,2,salmon_p._chase:5.25219331461,history
165908,in jones v. vanzandt this man unsuccessfully argued against the constitutionality of the fugitive slave act. he was elected to the senate as a free-soiler in 1849 and six years later became the first republican governor of ohio. after failing to secure the 1860 presidential nomination he was made secretary of the treasury and later succeeded roger taney. name this sixth chief justice.,salmon_p._chase:0.280839617453,salmon_p._chase,3,salmon_p._chase:5.43513187724,history
183515,this man 's opponent humorously promised to not exploit his youth and inexperience.,millard_fillmore:0.101228899912,walter_mondale,0,walter_mondale:5.16237560541,history
183515,this man 's opponent humorously promised to not exploit his youth and inexperience. nominated to the u.s. senate by karl rolvaag he claimed that both he and his opponent would raise taxes but only he was honest enough to admit so.,grover_cleveland:0.0594977007698,walter_mondale,1,walter_mondale:6.48842946372,history
183515,this man 's opponent humorously promised to not exploit his youth and inexperience. nominated to the u.s. senate by karl rolvaag he claimed that both he and his opponent would raise taxes but only he was honest enough to admit so. in the democratic primaries he attacked gary_hart with the phrase where 's the beef geraldine_ferraro ran with what former vp who lost the 1984 presidential election.,walter_mondale:0.377201033516,walter_mondale,2,walter_mondale:8.15861766716,history
